ID,Localização,Objeto de teste,"Caso de teste ",Pré-condição,Passos,Resultado esperado,Evidencia
TEST-1,"Tela Inicial ",Busca de passagens,"[Campo data] Deve existir limite máximo para seleção de datas das passagens ",Ter uma data de ida,"Tela inicial > Selecionar campo de data de Ida > Preencher com dados válidos > Selecionar campo de data de Volta ","Que haja um limite para volta. Este limite é de um ano. ",https://drive.google.com/file/d/1-SmzRI6AbvazY87qIbVcRhClOqJsyzTs/view?usp=sharing
TEST-2,"Tela Inicial ",Busca de passagens,"[Campo data] Não deve ser possível selecionar datas passadas de ida ou de volta ",Sistema estar disponível,"Tela inicial > Selecionar campo de data ",Que apareça como selecionável apenas a data atual para frente.,https://drive.google.com/file/d/1OjQakM2ahxDsUubwJ0-zRhJflm5Xjsgo/view?usp=sharing
TEST-3,"Tela Inicial ",Busca de passagens,[Campo checkbox] Deve ser possível utilizar pontos + dinheiro para busca de passagens; ,Sistema estar disponível,Tela inicial > Selecionar Checkbox [Use seus pontos + Dinheiro],Que seja possivel prosseguir a compra usando pontos + dinheiro.,https://drive.google.com/file/d/1srBei3R1h8miog1mfmkuoNULc4zLksLJ/view?usp=sharing
TEST-4,"Tela Inicial ",Busca de passagens,[Campo data] Deve ser possível selecionar datas iguais para as passagens de ida e volta;,Sistema estar disponível,Tela inicial > Selecionar campo de data de Ida > Preencher com dados válidos > Selecionar campo de data de volta > Preencher com a mesma data de Ida,Que seja possivel prosseguir a compra de ida e volta para o mesmo dia.,https://drive.google.com/file/d/1QVFVW8_3vycXe7gihUhYmGJ4_4JtSzzD/view?usp=sharing
TEST-5,"Tela Inicial ",Busca de passagens,[Campo Origem] Deve ser exibida mensagem de alerta caso a origem não seja encontrada,Sistema estar disponível,Tela inicial > Selecionar campo de origem > Preencher com dados inválidos,Uma mensagem de alerta deve ser exibida,https://drive.google.com/file/d/1CCv3z3ig7_C34TVzfsWHfA39BtWy-UmQ/view?usp=sharing
TEST-6,"Tela Inicial ",Busca de passagens,[Campo Destino]Deve ser exibida mensagem de alerta caso o destino não seja encontrado; ,"Ter uma origem válida ","Tela inicial > Selecionar campo de origem > Preencher com dados válidos > Selecionar campo de Destino > Preencher com dados inválidos ",Uma mensagem de alerta deve ser exibida,https://drive.google.com/file/d/1RQloMDC8VOwer6NUo9Vow6Jbdz2aqbCW/view?usp=sharing
TEST-7,"Tela Inicial ",Busca de passagens,[Campo Data de Ida e Volta] Deve ser possível selecionar passagem de Ida e volta; ,"Sistema estar disponível ",Tela inicial > Selecionar campo Ida e Volta (que está assim por padrão),Que seja possível selecionar Ida e Volta,https://drive.google.com/file/d/1jfTi9fdWERJgtC7PhKXdVyETnTIhwPsc/view?usp=sharing
TEST-8,"Tela Inicial ",Busca de passagens,[Campo data de Somente Ida] Deve ser possível selecionar passagem somente de ida; ,"Sistema estar disponível ",Tela inicial > Selecionar campo Ida e Volta (que está assim por padrão) > Selecionar Somente Ida,Que seja possível selecionar Somente Ida,https://drive.google.com/file/d/1jfTi9fdWERJgtC7PhKXdVyETnTIhwPsc/view?usp=sharing
TEST-9,"Tela Inicial ",Busca de passagens,"[Campo tipo de passagem]Deve ser possível selecionar passagem dos tipos Economy, Premium  Economy ou Premium Business; ","Sistema estar disponível ",Tela inicial > Selecionar campo [Economy] (que está assim por padrão) > Clicar no tipo de passagem preferida,"Que seja possível selecionar o tipo de passagem ",https://drive.google.com/file/d/1OYkZ4zPnIA8i5z-hylciAQumVL2LtM_b/view?usp=sharing
TEST-10,"Tela Inicial ",Busca de passagens,"[Campo Passageiros] Deve ser possivel selecionar até 9 passageiros ","Sistema estar disponível ","Tela inicial > Selecionar campo de Passageiros > Adicionar 9 passageiros ",Que seja possivel adicionar os 9 passageiros,https://drive.google.com/file/d/1uAhrPO9HCNBDXnEuVK3-Lsn9ooRmVOMS/view?usp=sharing
TEST-11,"Tela Inicial ",Busca de passagens,[Campo Passageiros] Deve ser exibida mensagem de erro caso usuário tente selecionar acima de 9 passageiros,"Sistema estar disponível ","Tela inicial > Selecionar campo de Passageiros > Tentar adicionar 10 Passageiros ",Uma mensagem de erro deve ser exibida,https://drive.google.com/file/d/1uAhrPO9HCNBDXnEuVK3-Lsn9ooRmVOMS/view?usp=sharing
TEST-12,"Tela Inicial ",Busca de passagens,[Campo Passageiros] Deve ser exibida mensagem de erro caso usuário tente selecionar abaixo de  1 passageiro adulto; ,"Sistema estar disponível ","Tela inicial > Selecionar campo de Passageiros > Tentar retirar o adulto (Por padrão, sempre há um)","Uma mensagem de erro deve ser exibida ",https://drive.google.com/file/d/1qN7dcQu1s_r1EyRIdZrssi0e8sHjXbCY/view?usp=sharing
TEST-13,"Tela Inicial ",Busca de passagens,[Campo Passageiros] Deve ser exibida mensagem de alerta caso usuário selecione o passageiro  tipo criança; ,"Sistema estar disponível ",Tela inicial > Selecionar campo de Passageiros > Adicionar criança,"Uma mensagem de alerta deve ser exibida ",https://drive.google.com/file/d/1il2LNWy82UlF5vEVnuOdT0xEZcX_FN99/view?usp=sharing
TEST-14,"Tela Inicial ",Busca de passagens,[Campo Passageiros] Deve ser exibida mensagem de alerta caso usuário selecione o passageiro  tipo bebê; ,"Sistema estar disponível ",Tela inicial > Selecionar campo de Passageiros > Adicionar bebê,"Uma mensagem de alerta deve ser exibida ",https://drive.google.com/file/d/1il2LNWy82UlF5vEVnuOdT0xEZcX_FN99/view?usp=sharing
TEST-15,"Tela Inicial ",Busca de passagens,[Campo Destino]Deve ser possível pesquisar o destino da passagem aérea;,"Ter uma origem válida ","Tela inicial > Selecionar campo de Origem > Preencher com dados válidos > Selecionar campo de Destino > Preencher com dados válidos ",Que apareça o destino correspondente,https://drive.google.com/file/d/1IVpchbyfLu3FCR7_nMa03u3fWvzyPYCh/view?usp=sharing
TEST-16,"Tela Inicial ",Busca de passagens,[Campo Origem] Deve ser possível pesquisar a origem da passagem aérea,"Sistema estar disponível ","Tela inicial > Selecionar campo de Origem > Preencher com dados válidos ",Que apareça a origem correspondente,https://drive.google.com/file/d/1IVpchbyfLu3FCR7_nMa03u3fWvzyPYCh/view?usp=sharing
TEST-17,"Tela Inicial ",Busca de passagens,"Impedir que seja possível efetuar a busca de passagens sem todas as  informações completas.  ","Sistema estar disponível ",Tela inicial > Não preencher todos os campos > Clicar em Procurar,"Os campos que faltam ser preenchidos sinalizam com alerta ",https://drive.google.com/file/d/1k1MX1zksPhGG433PgQ9A0d_SZDoeaIYt/view?usp=sharing